sim,method,l1
21,MAH,0.5144927536231884
21,PSC,0.6304347826086957
21,GEN,0.5400621118012422
21,CEM,0.3613886113886114
22,RAW,0.6482632788214623
22,MAH,0.5562913907284768
22,PSC,0.6225165562913907
22,GEN,0.6178334910122989
22,CEM,0.3428600801891642
23,RAW,0.6300333704115684
23,MAH,0.5161290322580645
23,PSC,0.5741935483870968
23,GEN,0.5285714285714286
23,CEM,0.3799178798058977
24,RAW,0.616923956546598
24,MAH,0.5220125786163522
24,PSC,0.5974842767295598
24,GEN,0.5324812335159261
24,CEM,0.35894801725909187
25,RAW,0.6694252873563219
25,MAH,0.5586206896551724
25,PSC,0.6137931034482759
25,GEN,0.5724137931034483
25,CEM,0.4666666666666667
26,RAW,0.7042931327782255
26,MAH,0.6274509803921569
26,PSC,0.6601307189542484
26,GEN,0.6361998867788585
26,CEM,0.4567075751163775
27,RAW,0.6247237504114356
27,MAH,0.5035971223021583
27,PSC,0.5827338129496403
27,GEN,0.5260911270983214
27,CEM,0.3613636363636364
28,RAW,0.6780986762936221
28,MAH,0.5952380952380952
28,PSC,0.6547619047619048
28,GEN,0.5916666666666667
28,CEM,0.45958333333333334
29,RAW,0.630355453439654
29,MAH,0.5364238410596026
29,PSC,0.6026490066225165
29,GEN,0.5400597325022725
29,CEM,0.4116907140214576
30,RAW,0.6143426110313528
30,MAH,0.5174825174825175
30,PSC,0.6153846153846154
30,GEN,0.5305694305694305
30,CEM,0.3755818701510821
31,RAW,0.6537634408602151
31,MAH,0.5333333333333333
31,PSC,0.6074074074074074
31,GEN,0.5240607513988809
31,CEM,0.3680555555555555
32,RAW,0.6345976375046142
32,MAH,0.5277777777777778
32,PSC,0.5694444444444444
32,GEN,0.5325932684509327
32,CEM,0.35531660692951017
33,RAW,0.6091057500453474
33,MAH,0.4496644295302013
33,PSC,0.5436241610738255
33,GEN,0.47883668903803134
33,CEM,0.3485799914371343
34,RAW,0.6675620019697377
34,MAH,0.6013071895424836
34,PSC,0.6339869281045751
34,GEN,0.5977011494252874
34,CEM,0.40451302472208395
35,RAW,0.6212803361632793
35,MAH,0.5384615384615384
35,PSC,0.591715976331361
35,GEN,0.5588334742180896
35,CEM,0.3593562973799707
36,RAW,0.6047149122807017
36,MAH,0.49375
36,PSC,0.6312500000000001
36,GEN,0.5202898550724638
36,CEM,0.3422098292087835
37,RAW,0.6655701754385965
37,MAH,0.5875
37,PSC,0.6687500000000001
37,GEN,0.5928240740740741
37,CEM,0.43120655241241657
38,RAW,0.6324383933494507
38,MAH,0.5459770114942528
38,PSC,0.5804597701149425
38,GEN,0.5663700407860586
38,CEM,0.36752136752136755
39,RAW,0.6769454017776165
39,MAH,0.5973154362416108
39,PSC,0.6577181208053691
39,GEN,0.6350205070842655
39,CEM,0.41241874786178584
40,RAW,0.6058690444503593
40,MAH,0.5192307692307692
40,PSC,0.5961538461538461
40,GEN,0.5310047095761381
40,CEM,0.3154292515994644
41,RAW,0.637680186229743
41,MAH,0.5490196078431373
41,PSC,0.607843137254902
41,GEN,0.5922574157868276
41,CEM,0.4043770016775965
42,RAW,0.6312709393899839
42,MAH,0.5153374233128835
42,PSC,0.5705521472392638
42,GEN,0.5257668711656441
42,CEM,0.37666666666666665
43,RAW,0.6330462271498603
43,MAH,0.5136986301369862
43,PSC,0.6506849315068493
43,GEN,0.5563787158699096
43,CEM,0.34480665857464887
44,RAW,0.6874886631598042
44,MAH,0.6375838926174496
44,PSC,0.7046979865771812
44,GEN,0.6361856823266219
44,CEM,0.4430031446540881
45,RAW,0.6473358846040624
45,MAH,0.49612403100775193
45,PSC,0.6046511627906976
45,GEN,0.5411156710746314
45,CEM,0.3953846153846154
46,RAW,0.6168040832351787
46,MAH,0.5
46,PSC,0.5802469135802468
46,GEN,0.5161544523246651
46,CEM,0.3441163699522362
47,RAW,0.6651315789473684
47,MAH,0.5875
47,PSC,0.65625
47,GEN,0.590036231884058
47,CEM,0.3885748544021925
48,RAW,0.6792275621936134
48,MAH,0.5547945205479452
48,PSC,0.6506849315068493
48,GEN,0.598692403486924
48,CEM,0.43963414634146347
49,RAW,0.6432908733963384
49,MAH,0.5374149659863945
49,PSC,0.6326530612244897
49,GEN,0.5631035631035631
49,CEM,0.40165758575704097
