sim,method,common_units_share
88,GEN(C),0.8325123152709359
89,CEM(T),0.9607843137254902
89,CEM(C),0.9710144927536232
89,PSC(C),0.7063492063492064
89,MAH(C),0.772020725388601
89,GEN(C),0.9170731707317074
90,CEM(T),0.9493670886075949
90,CEM(C),0.9726027397260274
90,PSC(C),0.6992753623188406
90,MAH(C),0.795
90,GEN(C),0.8181818181818182
91,CEM(T),0.9798657718120806
91,CEM(C),0.9902912621359223
91,PSC(C),0.7065637065637066
91,MAH(C),0.8263157894736842
91,GEN(C),0.8627450980392157
92,CEM(T),0.9440993788819876
92,CEM(C),0.967741935483871
92,PSC(C),0.7191011235955056
92,MAH(C),0.8082901554404145
92,GEN(C),0.7616580310880829
93,CEM(T),0.9556962025316456
93,CEM(C),0.9723502304147466
93,PSC(C),0.6862745098039216
93,MAH(C),0.8274111675126904
93,GEN(C),0.7843137254901961
94,CEM(T),0.9615384615384616
94,CEM(C),0.9858490566037735
94,PSC(C),0.7089552238805971
94,MAH(C),0.7908163265306123
94,GEN(C),0.8571428571428571
95,CEM(T),0.9433962264150944
95,CEM(C),0.971830985915493
95,PSC(C),0.7323420074349443
95,MAH(C),0.826530612244898
95,GEN(C),0.7512437810945274
96,CEM(T),0.9738562091503268
96,CEM(C),0.9903846153846154
96,PSC(C),0.6923076923076923
96,MAH(C),0.825
96,GEN(C),0.8238095238095238
97,CEM(T),0.9503105590062112
97,CEM(C),0.971830985915493
97,PSC(C),0.7357142857142858
97,MAH(C),0.7788944723618091
97,GEN(C),0.7247706422018348
98,CEM(T),0.9625
98,CEM(C),0.9765258215962441
98,PSC(C),0.6627450980392157
98,MAH(C),0.7794871794871795
98,GEN(C),0.8163265306122449
99,CEM(T),0.9612903225806452
99,CEM(C),0.9760765550239234
99,PSC(C),0.7258064516129032
99,MAH(C),0.8121827411167513
99,GEN(C),0.8308457711442786
100,CEM(T),0.9681528662420382
100,CEM(C),0.9772727272727273
100,PSC(C),0.7289377289377289
100,MAH(C),0.7990196078431373
100,GEN(C),0.8284313725490197
101,CEM(T),0.9367088607594937
101,CEM(C),0.966824644549763
101,PSC(C),0.6801470588235294
101,MAH(C),0.7914438502673797
101,GEN(C),0.8549222797927462
102,CEM(T),0.9308176100628931
102,CEM(C),0.958139534883721
102,PSC(C),0.706766917293233
102,MAH(C),0.7868020304568528
102,GEN(C),0.821256038647343
103,CEM(T),0.9617834394904459
103,CEM(C),0.9769585253456221
