rep,method,mspe_base,mspe_perturbed,mspe_ratio
146,PSC,3094550.88789376,4732235.216541533,1.5292155107400505
147,PSC,42253.15045934476,164585.89368847042,3.8952336547503617
148,PSC,872493.1131159653,6420.44882371869,0.0073587386848122105
149,PSC,791556.9000589282,4290490.461940425,5.420318440305449
150,PSC,337645.4657910274,131393.62055685272,0.3891467052549544
151,PSC,61244.82398058619,410702.2339996556,6.7059092884297105
152,PSC,1216503.6140068588,268188.32891809574,0.22045830840958247
153,PSC,333890.3895911754,135019.5015987052,0.40438271303354006
154,PSC,21486.36636599403,83259.91459623857,3.8750113992290522
155,PSC,2048737.1292249968,109143.68533752975,0.053273640517667094
156,PSC,479376.31535104767,592045.9424616302,1.2350337793140125
157,PSC,182569.2591555806,1640.7066726534447,0.008986763052235856
158,PSC,2969300.132245208,5318301.733708404,1.7910960485112768
159,PSC,3904247.977857328,173926.021406769,0.04454789306242287
160,PSC,1000138.416314637,234476.16806722234,0.2344437172318933
161,PSC,1744690.688098185,16759.670792660316,0.009606098609335353
162,PSC,4728672.873111196,4614869.827070772,0.9759334068787997
163,PSC,21735.820045595632,77463.88250073012,3.563881295402368
164,PSC,118785.0912200692,2389126.597087307,20.113017320170687
165,PSC,1089912.1924104071,3441509.6259561814,3.1576026490217286
166,PSC,2126415.138566796,70865.15279309425,0.03332611375258425
167,PSC,257913.0244100881,96605.48763629647,0.3745661463094293
168,PSC,2259160.037988631,2965270.6816781787,1.312554503362325
169,PSC,1583390.2821923383,139208.80923364093,0.08791819098503909
170,PSC,3565.736574317274,371307.62051985366,104.13209522942601
171,PSC,63547.42872960689,278514.2697313327,4.3827779549729025
172,PSC,21466.922934475897,410040.38080893486,19.101031948570963
173,PSC,200769.0893343079,106558.91247588124,0.5307535778002466
174,PSC,169976.9661258097,2193854.3169447165,12.906774176219377
175,PSC,217261.68598499053,87172.84074922107,0.4012343011792856
176,PSC,253853.2649763175,233643.89462196006,0.9203895590775922
177,PSC,1514998.7508493322,3296407.9547804166,2.175848628873389
178,PSC,285026.8481730226,416147.5654449179,1.4600293555233779
179,PSC,603188.5750826854,704878.3937506976,1.168587110016254
180,PSC,1408978.7112417226,13532.741097465587,0.00960464554183312
1,MAH,293812.4680553535,498297.1713914479,1.6959701359493362
2,MAH,3783457.7270689933,2897272.737615017,0.7657737833004693
3,MAH,2721404.8034128696,3078822.441258121,1.1313357121281697
4,MAH,10232949.880902411,10068052.227275161,0.9838856189518727
5,MAH,652204.2138122002,232746.8264442895,0.35686188699067206
6,MAH,452567.3049570837,239939.58108031936,0.5301743595973476
7,MAH,778.4414261686029,47811.09498009408,61.41900131833253
