sim,method,att
51,CEM,1049.2736806488842
51,CEM.W,788.4284685746604
52,RAW,-817.6040577964886
52,MAH,742.8573785867266
52,PSC,-655.0604093346046
52,GEN,51.192372837005344
52,CEM,1164.0247169289235
52,CEM.W,1144.5279213579502
53,RAW,-801.4858634692628
53,MAH,1683.0365196787611
53,PSC,401.93114889035496
53,GEN,529.5415834213471
53,CEM,1098.1259951827215
53,CEM.W,1058.3594673724988
54,RAW,1514.7160521200885
54,MAH,1416.048494912031
54,PSC,2632.0671424546113
54,GEN,1247.3140563577028
54,CEM,1340.4399088314024
54,CEM.W,1258.1576097339148
55,RAW,3189.662995399397
55,MAH,3150.056473624468
55,PSC,3822.7072760424903
55,GEN,1524.2674663899293
55,CEM,1139.6854773771506
55,CEM.W,989.9581551293273
56,RAW,-617.0745974511638
56,MAH,1147.4997816272075
56,PSC,2579.5684123283813
56,GEN,979.319884736752
56,CEM,1223.7214351226767
56,CEM.W,1164.6140792368424
57,RAW,-128.44026495900926
57,MAH,1789.2814851601725
57,PSC,145.1109663876332
57,GEN,1171.485463808762
57,CEM,1180.7106985843081
57,CEM.W,1037.644452080831
58,RAW,2974.6598723395655
58,MAH,2501.153055062897
58,PSC,3227.7228378563204
58,GEN,1583.1613397686247
58,CEM,1221.1032359842911
58,CEM.W,1045.71424338428
59,RAW,1296.5892031772319
59,MAH,2244.749388665886
59,PSC,968.8550519934606
59,GEN,1253.7409267612616
59,CEM,1176.7004127053071
59,CEM.W,920.237041306622
60,RAW,1764.496990571095
60,MAH,1733.8892928435134
60,PSC,873.0672718881433
60,GEN,581.4252605364462
60,CEM,1236.4238378131315
60,CEM.W,931.4946973819891
61,RAW,652.1795533733375
61,MAH,1500.8334285496148
61,PSC,1656.993966496707
61,GEN,1075.0185941184498
61,CEM,1022.6377618691847
61,CEM.W,908.4793183983206
62,RAW,1648.6261078434327
62,MAH,2243.0724520999784
62,PSC,1314.3773830966957
62,GEN,1299.2446776334768
62,CEM,1124.7556420495348
62,CEM.W,1068.037585558766
63,RAW,2448.75872920827
63,MAH,2671.6631855475443
63,PSC,140.81025972366933
63,GEN,399.16861737816674
63,CEM,966.1588458508371
63,CEM.W,867.2613265699827
64,RAW,-29.028483287693234
64,MAH,1325.7993903050374
64,PSC,-1300.8434835085554
64,GEN,-123.3032892374404
64,CEM,1248.8117758291824
64,CEM.W,1093.4497148912476
65,RAW,2508.0382594204984
65,MAH,2097.4202729648287
65,PSC,123.39083678639417
65,GEN,1744.4714739318442
65,CEM,1056.4674218582495
65,CEM.W,999.29187065979
66,RAW,2727.2072885862535
66,MAH,2927.5036960740536
66,PSC,1561.880443129994
66,GEN,1560.1683117034227
66,CEM,1266.6211152289009
66,CEM.W,1138.8142049643177
67,RAW,1979.8143470770365
67,MAH,3013.8086434180095
67,PSC,954.96492124838
67,GEN,1901.4315808666897
67,CEM,1263.8335644819929
67,CEM.W,1082.0007064730707
68,RAW,487.2742805966245
68,MAH,1310.4529859870408
68,PSC,1747.147585781866
68,GEN,1025.9734955541671
68,CEM,1377.889785514215
68,CEM.W,1039.7463910244214
69,RAW,-1272.1026196006342
69,MAH,253.60148257578567
69,PSC,510.57762423143686
69,GEN,344.47369963159963
69,CEM,1018.8525271064041
69,CEM.W,843.5863083779275
70,RAW,1427.6242191940355
70,MAH,2792.453317646073
70,PSC,1797.8488039085578
70,GEN,734.3213647641821
70,CEM,1289.629818090155
70,CEM.W,1138.638370462697
71,RAW,646.73447125451
71,MAH,1712.9688136239074
71,PSC,1210.278730034057
71,GEN,1205.5027866561352
71,CEM,1109.2157064429175
71,CEM.W,1000.2985171725147
72,RAW,723.1282762227802
72,MAH,1604.7814257954524
72,PSC,1492.7429203889533
72,GEN,875.7807155467593
72,CEM,1400.8698602463119
72,CEM.W,1097.6684226643597
73,RAW,1055.5343217884101
73,MAH,989.2267246116116
73,PSC,1518.558102033794
73,GEN,641.2449700087573
73,CEM,1089.7804832247589
73,CEM.W,1019.0378912536415
74,RAW,-561.6272709207706
74,MAH,2207.7463868465225
74,PSC,1501.9985846823688
74,GEN,883.3065345080589
74,CEM,1231.8551437686324
74,CEM.W,995.5796117742321
75,RAW,2872.899405133823
75,MAH,3290.1130947077427
75,PSC,2297.2591655019532
75,GEN,1974.4649965320818
75,CEM,1072.9694900699146
75,CEM.W,985.7107279981512
76,RAW,1263.9858177679062
76,MAH,1708.5957513283292
76,PSC,2085.6456304997737
76,GEN,1505.7494911492781
76,CEM,1015.5230593061572
76,CEM.W,866.7386239975324
77,RAW,108.19942041861759
77,MAH,1532.1377003361113
77,PSC,-1910.975714432585
77,GEN,765.2955891331911
77,CEM,1145.1474417080344
77,CEM.W,991.018807649726
78,RAW,678.8236257333429
78,MAH,290.8270906874459
78,PSC,-400.06100339770455
78,GEN,680.9666624525768
78,CEM,1200.7327389323243
78,CEM.W,1088.823172636162
