Method,PlaceboATT
MAH,449.21954110656134
EBAL,30.221076073015865
CEM.W,1103.4986114179223
PSC,702.6949972030689
MAH,598.3191524338645
EBAL,416.4976869501206
CEM.W,436.07880780723735
PSC,268.95867731113594
MAH,250.1519415242101
EBAL,314.6065823234194
CEM.W,-1010.378079224156
PSC,-581.023137166444
MAH,-537.5448339314571
EBAL,-752.2518701853123
CEM.W,790.253876573961
PSC,-206.4587081883492
MAH,475.1578992207842
EBAL,116.85955378253857
CEM.W,672.5947311712289
PSC,306.40395323114353
MAH,379.63440533519224
EBAL,116.94480438886876
CEM.W,-279.6519264803128
PSC,297.12959388450327
MAH,379.41370472763447
EBAL,245.6141479182843
CEM.W,434.1174878833226
PSC,397.43307678787824
MAH,616.4131025449196
EBAL,279.7788771231817
CEM.W,-429.15522243836404
PSC,-846.7527834831262
MAH,-906.7956207095567
EBAL,-852.0734117283318
CEM.W,-887.8724691317311
PSC,-443.4450920182044
MAH,-310.99691635029103
EBAL,-400.13493519413714
CEM.W,152.05514984643742
PSC,521.4074891087184
MAH,295.4925799000539
EBAL,335.6546835147001
CEM.W,-350.2481247327396
PSC,-577.7520957844017
MAH,-751.8846047526658
EBAL,-856.1365915894812
CEM.W,151.6372344088104
PSC,851.6570346845119
MAH,804.6844127539434
EBAL,584.4337599140317
CEM.W,-90.9831823292734
PSC,-680.1566903984512
MAH,-850.7706756463358
EBAL,-735.765584977913
CEM.W,-224.2631237171745
PSC,-540.612334280303
MAH,-447.0207194190234
EBAL,-678.4937239733717
CEM.W,-289.9078357676617
PSC,814.6236837496263
MAH,749.1619629394327
EBAL,284.41084484134353
CEM.W,509.27427793456263
PSC,689.0970908142499
MAH,532.0934045965014
EBAL,439.23088028097663
CEM.W,54.524097082889966
PSC,59.37267392091144
MAH,81.61821835450519
EBAL,-85.38555603110126
CEM.W,1252.79286823959
PSC,-163.09687582972856
MAH,-197.16682100135495
EBAL,-279.1174441965486
CEM.W,-128.10201892130863
PSC,-319.42534587359205
MAH,-253.6628277068985
EBAL,-413.78056610330077
CEM.W,538.0547956380533
PSC,740.4370523189455
MAH,423.3514861161457
EBAL,264.2846556323957
CEM.W,528.8851528585055
PSC,-129.88031849716663
MAH,406.4230154403531
EBAL,237.6078374568824
CEM.W,698.7710689685027
PSC,479.83135749996745
MAH,608.1482461357755
EBAL,258.5828020745812
CEM.W,-351.8898499352008
PSC,18.817098726728545
MAH,279.5082953867286
EBAL,56.66847032550504
CEM.W,1063.5588815687966
PSC,364.1065649295897
MAH,724.9902108574552
EBAL,539.0578462102303
CEM.W,810.3912258131877
PSC,-77.66032534255737
MAH,148.75333398118892
EBAL,108.16825265964599
CEM.W,-1423.7551531211639
PSC,-781.8698325108999
MAH,-799.0691312154131
EBAL,-1055.625096888216
CEM.W,-1083.9503924952705
PSC,-364.5762086733421
MAH,-466.6359326911688
EBAL,-414.2986558428838
CEM.W,703.4581161114984
PSC,382.5831763142287
MAH,373.43205710773964
EBAL,459.8413575961458
CEM.W,-971.3295854928965
PSC,-627.296791372074
MAH,-822.1831115953846
EBAL,-756.5994787531608
CEM.W,-1253.922904605557
PSC,9.099109251491427
MAH,-53.01881110708291
EBAL,46.42171668876745
CEM.W,207.8886976648455
PSC,599.730731437503
MAH,449.197295127894
EBAL,368.6044451791395
CEM.W,-94.39065315755943
PSC,370.56593711930054
MAH,572.3093955171626
EBAL,360.91060909208045
CEM.W,-154.65688459452576
PSC,-268.38342572864076
MAH,-280.39965671320897
EBAL,-482.33402028197634
CEM.W,108.43845228110058
PSC,255.06017276494185
MAH,625.4915014838534
EBAL,321.598950026073
CEM.W,-864.9055510790131
PSC,137.20983122494818
MAH,251.26150015628627
EBAL,350.33654765420306
CEM.W,-590.28103216096315
PSC,-325.2738410487318
MAH,-510.0328680995335
EBAL,-496.20794198695967
CEM.W,242.0678135036287
PSC,1026.4133139844698
MAH,556.3638896107277
EBAL,545.2748923536137
CEM.W,1458.1242644594486
PSC,546.5413767111422
MAH,733.1358623440419
EBAL,193.5743099053425
CEM.W,-1451.4896564349533
PSC,-1411.5872563705698
MAH,-982.2909335126778
EBAL,-1573.8503084583945
CEM.W,-86.22981406617964
PSC,383.59144887699404
MAH,102.30210487288696
EBAL,104.55003376604509
CEM.W,446.71378581672343
PSC,100.40448822637973
MAH,619.3641767020172
EBAL,120.82434347793333
CEM.W,381.5219841658227
PSC,-312.8356930896489
MAH,-60.06719536572564
EBAL,-448.42591751555756
CEM.W,348.2998778577785
PSC,97.78316951199395
MAH,89.31623027300611
EBAL,134.01258037298612
CEM.W,877.8701271827686
PSC,179.63250332970438
MAH,634.8978937964648
EBAL,35.527384931580855
CEM.W,-1005.6484850399829
PSC,-251.7138898830226
MAH,-211.1644062979858
EBAL,-441.97908159308645
CEM.W,429.0144699769771
PSC,197.6218468894058
MAH,168.39866146254644
EBAL,174.5177117912508
CEM.W,-811.2939960447147
PSC,-1826.8885119531287
MAH,-1077.2247903868802
EBAL,-1375.302670140416
CEM.W,-1203.6853319527945
PSC,128.86108326510475
MAH,272.0885557052661
EBAL,230.91559781371325
CEM.W,789.1205700069386
PSC,259.8787363482643
MAH,312.04678334451273
EBAL,83.82193101528628
CEM.W,83.95097492628429
PSC,201.65224506879167
MAH,357.4625959942241
EBAL,245.43681256139917
CEM.W,207.78338820787576
PSC,251.6352547668048
MAH,-149.62584487195727
EBAL,10.679506900546585
CEM.W,414.30686424253963
PSC,903.8172462412003
MAH,598.787270632657
EBAL,832.9562814810952
CEM.W,414.3862106440074
PSC,141.72159760086652
MAH,-298.38545988705846
EBAL,-306.51712875836074
CEM.W,-488.5096353689805
PSC,-533.1261741175795
MAH,-161.5015648864337
EBAL,-617.254930037092
