sim,method,seconds
79,CEM,0.2519999999999527
80,MAH,0.02299999999991087
80,PSC,0.019000000000005457
80,GEN,18.25499999999988
80,CEM,0.29700000000002547
81,MAH,0.021999999999934516
81,PSC,0.019000000000005457
81,GEN,23.192000000000007
81,CEM,0.2599999999999909
82,MAH,0.02200000000016189
82,PSC,0.021999999999934516
82,GEN,28.50499999999988
82,CEM,0.2639999999998963
83,MAH,0.023000000000138243
83,PSC,0.020000000000209184
83,GEN,15.821999999999889
83,CEM,0.26900000000000546
84,MAH,0.020999999999958163
84,PSC,0.018000000000029104
84,GEN,10.622000000000071
84,CEM,0.27899999999999636
85,MAH,0.021000000000185537
85,PSC,0.019000000000005457
85,GEN,25.548999999999978
85,CEM,0.31199999999989814
86,MAH,0.02299999999991087
86,PSC,0.01999999999998181
86,GEN,23.384000000000242
86,CEM,0.25699999999983447
87,MAH,0.023000000000138243
87,PSC,0.018999999999323336
87,GEN,17.572999999999865
87,CEM,0.31199999999989814
88,MAH,0.02599999999983993
88,PSC,0.01999999999998181
88,GEN,24.40000000000009
88,CEM,0.25500000000010914
89,MAH,0.023000000000138243
89,PSC,0.01900000000023283
89,GEN,11.68100000000004
89,CEM,0.27700000000004366
90,MAH,0.02400000000034197
90,PSC,0.018999999999778083
90,GEN,17.367999999999938
90,CEM,0.25500000000010914
91,MAH,0.023999999999887223
91,PSC,0.018999999999778083
91,GEN,33.78800000000001
91,CEM,0.29399999999986903
92,MAH,0.024999999999636202
92,PSC,0.019999999999527063
92,GEN,22.66399999999976
92,CEM,0.24699999999984357
93,MAH,0.021999999999934516
93,PSC,0.018999999999778083
93,GEN,19.59999999999991
93,CEM,0.25900000000001455
94,MAH,0.02599999999983993
94,PSC,0.018999999999778083
94,GEN,32.94900000000007
94,CEM,0.261000000000422
95,MAH,0.02099999999973079
95,PSC,0.022999999999683496
95,GEN,16.092999999999847
95,CEM,0.2579999999998108
96,MAH,0.021000000000185537
96,PSC,0.022000000000389264
96,GEN,35.419000000000324
96,CEM,0.2669999999998254
97,MAH,0.021000000000185537
97,PSC,0.02500000000009095
97,GEN,20.157000000000153
97,CEM,0.27599999999983993
98,MAH,0.02599999999983993
98,PSC,0.025000000000545697
98,GEN,30.22499999999991
98,CEM,0.36300000000028376
99,MAH,0.02599999999983993
99,PSC,0.018000000000029104
99,GEN,15.157999999999902
99,CEM,0.26199999999971624
100,MAH,0.02500000000009095
100,PSC,0.021999999999934516
100,GEN,14.907999999999902
100,CEM,0.25700000000006185
101,MAH,0.027000000000043656
101,PSC,0.026000000000294676
101,GEN,33.10100000000011
101,CEM,0.3690000000001419
102,MAH,0.02500000000009095
102,PSC,0.018000000000029104
102,GEN,17.848999999999705
102,CEM,0.2729999999996835
103,MAH,0.027000000000043656
103,PSC,0.017999999999574356
103,GEN,34.983999999999924
103,CEM,0.31799999999975626
104,MAH,0.03199999999969805
104,PSC,0.02999999999974534
104,GEN,12.605000000000018
104,CEM,0.5700000000001637
105,MAH,0.02400000000034197
105,PSC,0.021999999999934516
105,GEN,20.606000000000222
105,CEM,0.26199999999971624
106,MAH,0.026000000000294676
106,PSC,0.019999999999527063
106,GEN,27.639000000000124
106,CEM,0.2829999999999018
107,MAH,0.02099999999973079
107,PSC,0.01900000000023283
107,GEN,15.416000000000167
107,CEM,0.2780000000002474
108,MAH,0.03099999999994907
108,PSC,0.021999999999934516
108,GEN,19.02500000000009
108,CEM,0.3619999999996253
109,MAH,0.021999999999934516
109,PSC,0.01999999999998181
109,GEN,55.77800000000025
109,CEM,0.29300000000012005
